filename,readid,runid,exit_status,barcode,taxID,name,score,lineage
324212_1778,39f96ed9-82a9-4b09-970e-820ece90fcf3,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1386,Bacillus,31010,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1778,19c8dea7-5b48-468c-bbca-cd47a5ac9c1a,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1639,Listeria monocytogenes,2196,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1778,460c782c-e803-4b76-b7d5-02a95e3ff575,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,562,Escherichia coli,10261,1:131567:2:1224:1236:91347:543:561:562
324212_1778,d5c49298-b8f3-4bd0-9b8e-98497e21c70a,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,562,Escherichia coli,6678,1:131567:2:1224:1236:91347:543:561:562
324212_1778,9eff5b51-828d-4744-a311-f7f066214d4d,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1280,Staphylococcus aureus,729,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1778,a865afe0-3e09-49e7-9344-400d73af9781,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1242108,Salmonella enterica subsp. enterica serovar Manchester str. ST278,1690,1:131567:2:1224:1236:91347:543:590:28901:59201:915158:1242108
324212_1778,cf204915-861e-4971-872f-58933d5f8a27,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1639,Listeria monocytogenes,9027,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1778,506749e3-c8ef-4f38-b704-fdea77b1511f,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1639,Listeria monocytogenes,2891,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1778,2f4db06e-7fb0-4bf8-ac3d-8b47567888ad,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1280,Staphylococcus aureus,1109,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1778,ddfcab93-9c46-4cc0-bdd4-232598534006,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1639,Listeria monocytogenes,4816,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1778,9071145a-26fc-4080-b6c0-5e688e0f3cd0,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,108619,Salmonella enterica subsp. enterica serovar Newport,5060,1:131567:2:1224:1236:91347:543:590:28901:59201:108619
324212_1778,c3f6809c-aa3e-4599-ad75-89ec50ad716a,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1386,Bacillus,14353,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1778,1bfa40cb-1fdc-4916-b724-8daa9fc79c47,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1280,Staphylococcus aureus,1024,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1778,54eb98fe-f7e0-4938-a8d5-940a9ac145c2,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1613,Limosilactobacillus fermentum,6065,1:131567:2:1783272:1239:91061:186826:33958:2742598:1613
324212_1778,8c9a4164-0664-4962-9bab-cab5003b0b47,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,NA,1639,Listeria monocytogenes,2153,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
