filename,readid,runid,exit_status,barcode,taxID,name,score,lineage
324212_1777,0007a872-ecf1-49a0-b45d-556586b21d6e,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,590,Salmonella,1849,1:131567:2:1224:1236:91347:543:590
324212_1777,00a8f97a-6625-4d4e-9a76-941f4ba44646,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,1611,1:131567:2:1224:1236:72274:135621:286:136841:287
324212_1777,00ccc56f-32d4-4baf-a75e-5e4aa86a2c3f,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,01b6f178-4281-4b37-a1c2-ab47bd9174e4,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,3872,1:131567:2:1224:1236:72274:135621:286:136841:287
324212_1777,01e44c94-c8dd-4c9a-be70-6e3e29c1b0ff,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,5727,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,02295bf6-3b6e-497c-828b-b61e5146eb08,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,02727d3c-d994-48b5-9479-2482a548bb18,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,3202,1:131567:2:1224:1236:91347:543:561:562
324212_1777,029049af-3fb0-4044-8aad-ca343d137ca9,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,144,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,048cc904-2179-401e-99ef-071eee2392a6,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,59201,Salmonella enterica subsp. enterica,2607,1:131567:2:1224:1236:91347:543:590:28901:59201
324212_1777,04f1d7bd-841e-4d77-bc88-f3e760853cee,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,1766,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,076fe93f-22ac-4efa-b3ed-1e95a568243f,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,16246,1:131567:2:1783272:1239:91061:1385:186817:1386
