filename,readid,runid,exit_status,barcode,taxID,name,score,lineage
324212_1777,839eed6e-3969-48df-be9a-cbc5ebbb8651,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,590,Salmonella,324,1:131567:2:1224:1236:91347:543:590
324212_1777,e19b4bbc-eb10-461c-b301-f757681f65af,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,1424,1:131567:2:1224:1236:91347:543:561:562
324212_1777,c4980472-aa69-4525-8515-82df2fd10393,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,286,Pseudomonas,1346,1:131567:2:1224:1236:72274:135621:286
324212_1777,fcb1bf9c-72c4-4bb0-b6f8-a98f7fe985a0,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,709,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,e4db8f7b-0ba6-43f7-816a-0b054fd959a9,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1613,Limosilactobacillus fermentum,2710,1:131567:2:1783272:1239:91061:186826:33958:2742598:1613
324212_1777,91dd54e0-8ddd-4970-b01c-15171b60f068,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,8628,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,4f6c882b-9c72-410f-aefb-c8acfd3abafe,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1279,Staphylococcus,441,1:131567:2:1783272:1239:91061:1385:90964:1279
324212_1777,d299904f-0dd9-470b-a3e1-f7a2ffb8c9aa,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,1637,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,ae045389-d322-4b42-a201-7d2553133649,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,985002,Staphylococcus argenteus,288,1:131567:2:1783272:1239:91061:1385:90964:1279:985002
324212_1777,de4c71d8-f9ab-4eed-9288-35f7ba7867d9,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,286,Pseudomonas,2116,1:131567:2:1224:1236:72274:135621:286
324212_1777,077b954c-67c1-487c-a187-bae6b54c0d70,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,1594,1:131567:2:1224:1236:91347:543:561:562
324212_1777,127cff29-6267-4ffc-9018-356f4a4be156,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,12750,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,bcb1692a-6084-423e-a21e-ab216dbff282,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,28901,Salmonella enterica,10338,1:131567:2:1224:1236:91347:543:590:28901
324212_1777,e908beb1-59f4-41b0-987a-9427a5facaa3,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,1600,1:131567:2:1224:1236:91347:543:561:562
324212_1777,ec89fb2e-ce03-419d-9f08-45f7ee5fd369,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,175ef3ab-8650-4c76-ad82-e1df057fc3e1,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,2285,1:131567:2:1224:1236:91347:543:561:562
324212_1777,80b1f2a6-b963-4404-8e9a-01fdc53c544a,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,7734,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,696d6f75-dfdd-47f2-b169-a2b78e21c266,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,3767,1:131567:2:1224:1236:72274:135621:286:136841:287
324212_1777,0f843e50-33b0-4b5b-8d10-6920829403ba,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,13899,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,3165c762-dce8-496c-81d5-05c7140f16b7,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,59201,Salmonella enterica subsp. enterica,6509,1:131567:2:1224:1236:91347:543:590:28901:59201
324212_1777,051505ed-e304-4f54-876e-75a1ca51597e,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,10625,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,901d93c4-3b60-4b2e-abde-85f31823d01e,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,4815,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,b935fea6-eba2-49bc-9b71-cd20357b45f0,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,3844,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,104b1a5f-a12a-48e3-89c8-aa99f4c48c16,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,3145,1:131567:2:1224:1236:91347:543:561:562
324212_1777,c4af1864-b281-4755-af2b-e2a49d539a9f,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,21257,1:131567:2:1224:1236:91347:543:561:562
324212_1777,df72732f-b65d-4abb-b425-14b08c49c060,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,3189,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,3cc63bd8-bb69-4135-890e-ce699b161041,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,784,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,e92471f7-5a0f-4851-82e0-8dccd3645a5e,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1639,Listeria monocytogenes,6698,1:131567:2:1783272:1239:91061:1385:186820:1637:1639
324212_1777,34d624da-c317-4e1c-8d9d-3a284081e986,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,13048,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,cfcfa29a-8fa4-4867-9f52-08e9f4996551,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,1022,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,29f1beca-2498-41ef-a8ba-8488d6965295,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,1361,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,f4fbeb35-59ec-4211-bb5e-4d79641cd8a0,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,6906,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,e6a2e612-9160-4e92-8ccf-ea28990d9300,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1613,Limosilactobacillus fermentum,1037,1:131567:2:1783272:1239:91061:186826:33958:2742598:1613
324212_1777,4308177c-d6a3-4370-8aa5-696130f2dbb1,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,1600,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,2a1a0d35-b6cb-4205-8e2e-095be78d7ce5,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,1422,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,d9e2a1fa-854c-4b48-9e5e-9233d12e1659,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,4320,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,6399a6b3-576a-4a83-b21f-9ef1647c571d,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,334390,Lactobacillus fermentum IFO 3956,4630,1:131567:2:1783272:1239:91061:186826:33958:2742598:1613:334390
324212_1777,c55fc1b5-984c-4188-b5e3-bd21539d609c,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,1958,1:131567:2:1224:1236:72274:135621:286:136841:287
